Sample_number, Measuring_side,Taste_character,Device_number,Replicate_number,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X268,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X289,X290,X291,X292,X293,X294,X295,X296,X297,X298,X299,X300,X301,X302,X303,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325,X326,X327,X328,X329,X330,X331,X332,X333,X334,X335,X336,X337,X338,X339,X340,X341,X342,X343,X344,X345,X346,X347,X348,X349,X350,X351,X352,X353,X354,X355,X356,X357,X358,X359,X360,X361,X362,X363,X364,X365,X366,X367,X368,X369,X370,X371,X372,X373,X374,X375,X376,X377,X378,X379,X380,X381,X382,X383,X384,X385,X386,X387,X388,X389,X390,X391,X392,X393,X394,X395,X396,X397,X398,X399,X400
16,3,2,1,3,12,12,14,13,13,14,13,13,14,14,13,15,13,14,14,14,14,16,13,14,14,13,14,14,14,15,16,17,15,14,15,17,16,15,16,15,15,16,15,16,16,16,16,19,16,18,16,18,18,18,17,19,18,16,18,18,16,18,18,18,18,17,18,19,20,15,19,19,18,19,20,18,20,20,19,21,20,20,20,20,20,20,20,20,20,21,22,20,22,21,22,22,20,22,20,21,22,21,23,21,22,23,22,22,22,23,22,23,24,21,23,24,25,26,24,22,24,24,24,24,24,24,26,26,25,25,24,25,27,26,26,26,28,26,26,29,28,28,27,26,28,28,26,27,28,26,32,28,28,29,27,30,28,26,28,28,28,27,29,28,25,30,28,28,28,27,29,28,28,30,30,27,29,30,30,30,32,28,29,31,30,30,30,32,30,30,30,32,30,30,30,30,30,30,31,32,32,31,29,32,32,30,30,30,31,30,31,31,31,30,30,30,30,32,32,31,34,31,32,31,32,31,30,31,32,31,33,33,31,32,31,32,30,32,32,32,32,31,30,30,32,30,28,30,30,30,30,31,28,31,30,29,30,29,29,29,30,28,30,29,30,32,30,30,28,28,28,29,29,30,30,29,29,30,28,27,28,28,28,28,30,27,29,26,27,28,28,27,26,26,26,26,24,25,24,25,25,24,24,24,24,24,26,24,22,24,22,22,23,22,23,24,22,21,20,23,21,20,20,19,20,20,20,18,18,18,18,17,18,17,17,18,17,16,16,18,16,17,16,15,16,16,15,16,16,16,16,15,13,15,15,14,14,14,13,14,13,14,12,14,12,12,13,12,12,12,11,12,12,11,10,10,10,10,10,11,11,10,10,10,9,10,10,10,10,10,10,10,10,8,10,10,8,11,10,7,8,8,8,10
16,1,2,1,1,11,11,10,10,10,11,11,12,12,12,12,11,12,10,11,12,11,11,12,12,11,12,12,10,12,11,11,12,12,11,13,11,14,12,11,13,12,12,12,12,12,12,13,13,14,16,11,13,15,12,14,14,12,13,13,12,12,14,14,13,13,13,13,14,14,14,12,12,14,14,12,14,13,12,14,12,14,14,13,13,14,13,14,15,13,14,14,13,14,13,12,13,15,13,15,14,14,15,14,15,14,15,13,15,15,14,15,16,15,16,16,16,16,15,14,15,14,16,15,15,16,16,16,16,16,17,17,14,16,16,17,15,16,18,16,15,17,16,18,16,16,17,17,16,16,17,18,16,16,17,17,17,15,16,17,16,17,18,16,17,15,16,18,18,15,18,17,17,17,18,17,19,17,20,18,18,17,19,18,19,19,17,16,20,17,18,18,17,18,18,17,18,19,18,19,19,19,18,19,18,20,20,16,20,20,17,20,18,17,18,19,18,19,20,18,18,19,18,18,18,18,19,18,18,18,18,18,19,18,18,19,20,16,18,19,19,18,18,18,18,20,17,16,17,17,17,16,17,18,16,17,17,17,18,18,17,18,18,18,17,18,16,18,18,17,18,18,16,17,18,16,18,18,17,16,18,16,18,16,18,17,17,16,16,16,18,16,16,17,17,16,17,16,16,15,16,16,16,16,14,16,17,16,14,16,14,15,17,15,14,14,14,13,14,13,14,14,13,14,14,12,14,14,12,13,14,12,13,13,11,12,13,13,12,12,13,12,10,11,12,11,10,12,12,11,11,10,11,12,12,12,11,11,12,11,10,10,11,10,9,11,11,11,10,9,9,10,8,10,10,9,10,10,8,10,10,8,9,10,9,10,8,8,9,10,8,8,8,9,9,9,8,7,8,8,8,8,8,8,8
16,1,2,1,2,10,10,11,9,11,12,11,11,11,12,11,12,11,11,10,10,12,10,10,10,12,10,12,11,11,13,12,11,12,10,11,12,12,12,13,10,13,13,12,12,12,12,12,12,12,14,12,12,13,12,11,12,11,13,14,12,10,12,12,12,14,12,12,14,12,12,13,13,14,14,12,13,14,13,11,14,14,14,14,13,13,14,13,13,12,14,13,14,14,12,12,14,15,14,13,15,15,14,16,14,12,15,13,13,14,14,14,15,14,15,14,14,14,16,14,14,16,14,15,14,16,16,16,14,15,15,16,15,16,16,16,16,16,16,16,15,18,17,16,16,16,15,15,16,15,15,20,16,17,16,14,18,17,15,16,18,15,16,16,16,18,16,14,16,16,15,18,17,18,18,16,16,17,18,16,18,18,18,16,16,18,19,16,18,17,17,19,18,18,18,18,17,17,18,16,18,18,17,18,19,17,18,18,17,18,18,16,16,18,17,20,18,18,18,18,18,18,18,16,18,18,17,17,18,18,18,19,19,18,17,18,18,17,16,18,18,17,19,18,18,19,16,16,17,17,16,16,17,17,18,17,17,16,17,18,16,16,17,18,17,16,18,16,17,19,19,17,16,16,18,16,16,17,17,15,18,18,15,17,16,15,17,15,15,16,17,15,17,15,14,14,16,16,16,14,15,15,15,15,15,15,16,15,13,15,15,15,15,14,12,14,13,13,14,14,13,13,13,12,14,14,13,13,13,12,13,12,12,11,12,12,12,12,11,12,12,11,12,11,11,10,11,11,11,10,10,12,10,10,11,9,10,11,11,10,10,8,10,9,8,10,10,10,10,10,9,9,10,8,9,10,8,8,10,8,9,9,9,8,8,8,8,8,8,9,8,8,9,8,7,8,9,8,8,8,7,8,7,8,9
16,1,2,1,3,11,13,10,12,12,12,12,13,12,13,12,12,12,12,12,12,12,12,13,14,12,12,14,13,13,13,14,12,12,12,13,13,14,14,13,14,13,13,12,15,12,13,13,13,15,16,12,15,15,13,14,14,13,13,15,13,14,13,12,14,14,13,16,16,14,14,14,15,14,14,15,16,15,14,14,16,15,18,15,14,15,15,15,15,16,14,14,16,16,16,15,15,16,14,16,16,15,16,16,14,17,16,16,15,17,15,15,17,16,15,16,16,18,16,16,16,18,16,18,18,16,18,18,17,17,18,18,18,18,16,18,18,17,18,18,18,18,18,20,18,17,17,18,18,18,18,20,18,19,17,18,21,19,18,19,19,17,19,17,18,18,19,18,19,17,19,20,18,19,19,19,19,19,20,19,19,20,20,19,18,20,19,20,22,20,18,20,19,20,19,21,19,21,19,21,20,19,18,20,18,20,20,20,19,20,18,20,20,20,20,20,20,20,22,20,20,21,19,20,20,20,21,20,20,20,20,22,21,20,21,21,20,19,20,20,19,20,20,20,20,20,20,18,19,18,20,18,21,22,20,20,19,18,18,18,18,18,20,19,19,20,18,17,20,20,20,20,19,20,19,18,19,19,19,18,19,18,18,19,17,17,18,16,17,19,18,17,18,16,18,16,17,17,17,16,17,17,16,16,16,18,16,17,16,17,16,16,18,15,16,15,15,16,17,14,16,15,15,15,15,14,14,14,13,14,14,12,14,13,13,12,14,13,13,12,14,12,12,12,14,13,12,13,13,12,11,12,11,12,12,12,12,12,11,10,11,11,11,10,11,12,12,10,12,10,9,10,10,10,10,8,10,10,9,11,11,10,10,10,9,10,10,11,10,10,8,9,10,8,10,10,8,9,10,8,9,9,8,8,9
17,2,3,1,1,11,11,11,12,9,11,11,12,11,12,10,12,13,11,12,11,11,10,11,12,12,12,12,13,11,13,13,12,12,13,12,12,13,12,11,13,12,13,12,12,14,13,12,14,13,15,13,13,14,14,14,12,14,14,13,14,14,13,13,13,15,14,15,14,14,14,14,14,14,16,14,16,13,14,15,15,14,16,16,15,14,14,16,15,15,14,14,16,16,15,15,18,16,16,16,15,17,16,16,15,15,16,18,16,15,16,16,15,17,16,16,17,19,15,18,17,16,16,18,18,15,18,17,18,18,18,19,18,18,17,17,18,19,17,19,19,18,18,20,18,18,18,18,19,18,19,22,17,16,18,20,21,20,20,20,18,18,18,18,19,18,19,20,18,19,18,20,19,19,20,20,18,20,21,20,19,21,20,19,20,20,20,20,22,20,20,20,19,20,19,21,21,19,21,20,20,19,20,20,20,20,20,21,20,20,20,20,19,20,19,21,21,22,20,20,21,22,22,21,20,19,20,19,21,21,19,21,22,19,21,22,21,20,20,21,21,20,20,20,20,20,21,20,21,20,20,19,21,19,19,19,19,19,19,19,19,17,19,19,19,19,20,22,18,19,19,18,21,21,19,18,20,16,18,20,19,18,19,18,19,18,17,19,17,17,19,18,18,18,16,18,17,16,17,17,17,17,16,15,16,17,16,19,16,14,17,16,15,16,16,15,15,15,15,15,14,14,14,14,14,14,13,14,13,13,12,13,15,12,14,12,12,13,12,12,12,10,12,12,12,12,11,11,10,12,11,11,11,12,10,11,10,11,11,11,11,12,10,10,11,10,12,11,10,11,10,9,9,9,8,10,10,8,9,10,8,8,9,9,10,8,9,10,8,8,9,8,8,9,8,10,8,8,8,8,10,9,9,8,8
17,2,3,1,2,11,11,11,11,11,11,11,12,12,13,13,13,11,12,11,12,13,12,12,13,12,12,13,13,13,13,13,15,14,13,14,14,13,14,15,13,15,14,14,14,14,14,16,14,15,17,13,15,15,17,15,15,15,17,17,16,15,15,17,15,16,16,17,19,16,16,16,15,17,17,17,18,17,16,16,18,17,18,19,17,19,19,17,17,19,19,18,17,17,19,19,18,17,19,19,19,19,19,19,20,17,19,18,18,19,20,20,19,19,20,21,20,21,21,19,19,21,21,19,23,20,20,21,20,21,23,23,21,23,22,22,23,23,23,23,21,22,21,23,23,22,22,23,23,23,23,26,24,23,23,23,25,24,24,25,23,23,24,24,23,22,23,22,25,23,23,25,24,24,24,23,24,25,23,23,24,25,23,25,25,25,24,26,25,25,24,27,25,25,24,25,23,24,24,24,26,27,24,24,24,24,25,24,25,25,25,25,25,26,25,27,26,25,25,25,25,25,25,25,27,25,25,26,26,26,25,26,28,25,27,24,27,23,25,27,25,25,26,25,26,27,24,24,25,24,25,25,24,25,25,24,25,23,24,25,23,23,24,25,24,24,24,23,24,24,25,24,24,24,24,24,24,23,25,25,24,23,24,26,23,22,24,22,23,24,21,21,22,22,21,21,20,21,20,20,21,21,19,20,21,20,20,22,19,20,16,19,21,19,17,19,17,17,18,17,18,19,17,17,17,17,16,17,16,16,15,14,15,16,15,16,14,14,13,15,14,14,15,13,12,13,13,12,14,13,13,13,11,13,13,13,13,13,12,11,12,10,11,12,11,12,11,11,10,11,9,9,9,9,10,11,9,10,11,11,11,9,10,9,9,9,10,9,8,9,7,8,8,9,9,9,8,8,9,7,9,9,8,8,8
17,2,3,1,3,11,12,12,10,11,11,10,12,13,11,12,13,11,12,11,11,12,13,12,13,13,12,13,13,13,13,11,14,14,13,13,13,13,13,14,14,14,15,13,13,14,14,13,14,14,17,13,14,16,17,14,15,14,14,16,15,12,15,15,15,16,16,14,17,17,15,15,15,17,17,15,16,17,17,15,17,17,17,16,18,16,16,17,18,19,17,17,18,18,18,18,17,18,18,17,18,20,17,18,18,16,19,20,18,19,19,18,19,19,19,21,19,19,19,21,17,19,20,19,20,21,19,21,20,21,23,21,19,20,21,21,21,21,22,22,21,21,23,23,19,23,20,21,23,23,22,25,21,21,21,22,23,22,23,22,22,22,21,22,21,22,24,21,24,23,21,23,23,21,23,23,22,24,24,23,21,25,22,24,23,23,23,25,23,25,24,25,25,23,23,23,23,23,23,25,23,23,23,23,25,23,24,24,24,24,23,23,24,23,23,24,25,24,25,25,25,25,25,25,24,26,24,24,23,24,26,25,26,24,25,23,24,26,23,24,23,22,23,22,26,25,23,24,24,22,24,23,24,24,22,24,23,24,24,23,23,23,23,22,21,23,23,23,23,21,22,25,22,21,22,22,20,22,24,22,21,23,21,21,23,21,22,22,21,23,21,21,21,20,20,21,19,20,20,19,19,20,18,19,19,19,20,21,17,18,19,18,19,19,17,17,18,17,17,17,16,17,19,16,16,17,15,16,17,15,15,15,14,14,14,13,15,15,14,14,15,12,13,14,12,14,13,13,12,13,13,13,12,12,13,12,12,13,12,11,13,10,12,12,11,12,12,10,11,12,11,11,10,9,11,9,9,8,9,9,11,10,9,9,9,8,10,11,8,9,9,9,9,9,9,9,9,8,9,8,7,8,9,9,9
17,3,3,1,1,16,14,15,16,14,16,15,15,16,16,16,18,16,17,18,18,17,18,16,16,16,17,18,19,18,16,18,18,18,18,18,18,20,20,17,19,21,20,20,20,20,20,19,20,22,22,20,21,22,21,22,19,21,20,20,22,22,20,24,22,20,24,23,23,24,22,22,23,23,23,25,23,26,24,24,24,25,27,25,26,25,26,26,27,24,26,26,26,27,26,26,27,28,26,27,27,27,26,27,27,27,27,27,28,28,28,30,28,28,29,28,30,30,30,30,30,31,31,30,30,32,32,32,33,32,33,33,32,33,33,33,31,32,35,32,32,34,35,36,34,34,36,36,35,34,36,37,35,34,36,34,35,36,36,36,35,35,34,34,36,34,35,35,36,36,37,37,37,34,36,37,37,38,38,37,35,38,37,38,38,37,38,38,39,38,38,38,39,38,38,35,38,40,38,36,38,38,38,40,37,39,38,40,38,36,39,38,38,39,41,40,39,38,38,41,39,38,39,42,40,40,40,40,40,40,39,40,42,39,40,42,39,38,41,40,40,40,38,38,40,40,38,39,36,38,36,36,38,39,36,38,38,38,37,37,37,38,36,39,39,36,38,37,37,38,38,36,36,37,38,38,36,35,37,38,37,37,38,36,34,36,36,35,34,34,34,33,33,34,34,31,33,34,32,32,31,31,32,31,30,31,32,32,31,30,29,30,29,28,27,27,27,27,27,26,27,26,26,24,24,23,25,24,23,23,22,22,22,21,23,22,20,19,20,20,20,20,20,20,20,18,19,18,17,17,18,17,17,18,16,18,17,16,17,16,16,15,16,15,14,14,15,15,14,14,14,13,13,13,13,12,12,12,13,12,11,12,12,11,12,11,11,11,12,10,12,10,10,10,10,10,10,10,9,10,10,10,10,10,9
17,3,3,1,2,11,12,12,12,13,13,12,13,13,12,15,16,14,14,15,13,15,15,13,15,14,15,14,16,15,15,15,14,17,15,15,17,16,14,16,16,16,18,17,18,17,17,17,17,19,20,18,19,18,18,17,17,19,19,19,19,19,21,20,19,19,20,19,21,21,20,19,21,20,21,21,21,22,22,21,22,23,21,21,23,21,23,22,22,24,23,24,23,23,21,23,24,23,24,23,25,24,23,23,25,25,24,25,24,25,25,24,25,27,23,27,26,27,27,27,26,27,28,27,29,29,28,29,29,29,30,30,29,30,30,28,31,31,31,31,31,30,32,32,30,32,32,31,32,31,31,35,33,29,33,31,33,33,33,32,33,31,32,32,30,31,33,32,33,33,33,33,33,34,33,33,33,34,35,34,34,35,33,37,34,36,35,37,34,35,34,35,37,36,34,35,35,35,36,37,35,36,35,34,35,37,35,35,35,35,36,36,36,35,35,37,37,37,35,39,35,37,36,35,37,35,35,39,37,36,36,37,41,35,37,37,38,35,35,37,35,35,34,35,37,36,35,35,35,34,33,35,36,34,35,35,35,34,36,35,34,36,34,36,35,34,35,34,34,36,34,34,34,35,36,33,33,34,33,35,33,34,35,33,35,31,33,33,32,32,32,30,29,31,30,29,30,29,29,29,27,29,27,26,29,28,27,27,27,26,27,27,26,26,26,26,24,24,23,25,23,23,24,23,21,23,21,22,22,21,21,19,20,20,19,19,19,21,17,18,20,18,18,19,17,17,17,15,16,17,15,16,16,16,16,17,15,15,15,14,16,14,14,16,13,12,13,13,13,13,13,12,12,12,12,11,12,11,11,11,11,11,9,9,11,11,10,10,9,11,9,9,9,9,10,10,9,9,9,9,7,7,9,9,9
17,3,3,1,3,14,14,14,13,13,14,13,14,14,15,14,15,13,13,15,14,14,14,14,15,15,15,16,17,15,16,17,14,17,15,15,16,17,17,17,17,17,17,16,17,17,18,17,17,19,21,17,16,17,19,18,18,20,19,20,19,19,21,19,19,20,20,19,21,21,20,19,20,20,21,23,21,20,21,23,21,22,21,21,22,21,23,23,22,23,25,23,23,22,22,24,23,23,25,23,24,26,24,25,24,24,25,25,23,25,25,25,25,25,25,25,26,28,27,26,25,27,28,26,29,29,28,30,30,28,30,31,29,29,30,29,30,31,30,29,31,29,31,29,29,31,31,31,30,32,30,34,31,32,32,31,33,31,31,31,31,32,32,33,31,31,33,30,31,33,31,31,35,33,34,33,32,33,35,34,34,36,33,35,33,33,36,35,35,37,37,34,33,35,34,35,37,35,33,35,34,34,34,33,35,35,35,35,33,35,34,36,35,35,35,35,37,36,35,36,35,37,37,36,34,36,36,36,37,35,34,38,38,37,38,34,35,35,35,37,36,35,34,35,36,35,33,34,35,35,33,33,34,35,33,35,33,33,33,33,35,34,33,34,33,31,35,36,35,33,35,33,34,34,33,34,34,34,34,33,33,33,31,32,32,31,32,34,32,29,32,29,31,30,29,31,29,29,29,29,29,27,28,26,27,28,27,29,27,26,25,29,26,25,26,25,25,23,23,25,23,23,23,22,21,23,22,21,23,21,20,19,19,18,18,18,19,18,18,18,20,18,17,17,17,17,18,17,17,18,16,17,17,16,15,16,15,15,15,14,15,15,15,15,13,13,13,14,13,14,13,12,11,12,11,12,12,10,11,11,10,12,10,11,11,11,9,11,10,9,9,10,8,11,9,10,10,9,9,9,8,8,9,9,10
17,1,3,1,1,10,11,10,11,11,9,11,11,11,11,10,11,11,12,10,11,11,11,11,11,10,12,12,11,12,12,12,12,10,11,13,12,13,12,10,12,13,11,13,11,11,13,13,11,14,15,9,12,13,12,14,13,11,13,13,12,12,12,14,12,14,13,13,14,13,13,13,14,14,12,15,14,13,14,14,12,14,15,14,13,13,13,13,14,13,15,15,13,13,15,13,15,15,13,15,15,15,15,14,13,13,15,14,14,15,13,14,15,13,14,15,15,18,14,15,15,16,15,15,16,15,17,15,16,17,16,17,17,15,17,17,16,17,16,16,16,17,17,17,16,16,15,17,18,16,18,18,16,16,16,16,19,17,17,18,15,17,17,16,18,18,17,17,17,16,18,18,18,16,18,18,19,17,18,18,16,19,18,17,17,18,18,18,20,17,19,17,18,19,19,18,17,17,18,17,19,17,17,17,18,17,19,17,17,18,17,17,19,18,18,19,19,16,18,18,17,19,17,19,18,18,19,18,19,19,17,19,19,17,18,18,18,19,18,19,19,18,16,18,18,17,17,17,17,17,17,17,17,17,16,18,19,16,17,19,17,17,18,17,17,19,17,16,18,15,16,17,16,17,18,17,17,16,17,17,17,15,17,17,16,16,16,17,17,17,16,17,15,16,15,15,16,16,15,15,15,14,13,13,14,15,16,16,14,15,14,14,15,13,13,13,12,15,13,13,13,13,11,13,12,11,12,13,13,11,11,10,11,12,13,11,11,9,11,10,11,11,9,10,10,11,10,11,9,10,11,10,10,11,9,9,9,9,9,11,9,9,11,8,9,9,9,9,11,9,8,10,8,10,9,9,9,8,8,9,8,8,8,8,8,9,10,9,8,7,8,7,8,9,7,7,8,8,7,7,7,7,8,9,7
17,1,3,1,2,11,11,12,12,9,11,11,10,12,12,12,13,11,10,12,11,11,12,11,12,12,12,12,12,11,12,12,11,12,13,12,12,13,13,14,12,12,12,12,12,12,13,13,14,13,14,12,14,14,14,14,12,12,14,12,12,14,12,12,12,13,15,13,14,14,14,12,14,14,14,15,15,13,14,14,15,13,14,14,13,14,14,14,14,15,16,13,14,14,14,15,15,14,14,14,15,15,14,15,15,14,14,16,15,14,15,16,14,16,16,15,15,17,14,16,16,14,16,16,16,16,17,16,16,16,14,15,17,14,16,16,18,18,17,16,17,16,17,18,16,17,17,16,18,18,18,20,17,16,17,18,18,16,18,16,18,19,17,17,16,16,18,16,17,18,18,18,17,17,17,19,17,19,19,18,18,19,16,17,18,18,19,19,18,18,18,18,18,19,17,17,20,19,18,20,18,18,20,18,19,18,19,18,18,18,18,18,18,19,19,18,20,18,20,20,17,19,18,20,18,19,19,17,19,19,17,20,20,17,21,19,19,19,18,20,18,19,18,18,18,17,19,18,18,18,18,19,17,17,19,18,16,18,18,18,18,18,16,18,18,18,18,19,17,17,19,16,17,18,18,17,17,17,19,17,18,16,17,17,17,18,16,15,16,16,18,15,17,16,16,15,16,14,15,15,14,15,15,14,15,14,14,16,15,14,16,15,15,14,12,13,15,13,13,13,14,13,14,13,12,14,13,13,12,12,12,12,12,11,12,12,11,13,11,12,12,10,11,11,11,11,10,10,11,9,11,11,10,10,10,11,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,8,10,9,10,10,10,8,9,8,10,10,8,8,8,8,7,8,9,8,8,9,8,8,8,8,10,8,8,8,8,8,9,8,8
17,1,3,1,3,11,11,13,11,11,11,12,12,12,12,12,13,13,13,12,12,14,13,12,13,11,14,14,13,14,14,12,14,12,12,15,13,13,13,14,13,15,14,12,13,15,14,15,15,13,17,13,13,16,13,13,15,15,15,14,15,14,15,13,15,15,15,16,15,15,15,15,15,15,16,15,15,15,15,16,15,15,15,17,15,17,17,15,17,15,17,17,16,17,17,17,16,17,17,17,17,18,17,17,16,16,17,15,16,16,17,17,17,17,17,20,17,19,18,18,18,19,18,17,19,17,19,19,19,19,19,19,19,18,19,19,17,19,20,18,20,19,21,19,19,19,20,20,19,19,20,22,18,20,20,19,22,19,20,19,19,19,20,20,19,19,21,19,21,21,19,19,20,21,21,20,21,21,23,19,21,22,21,21,20,20,22,21,23,22,18,20,20,21,20,23,21,23,21,21,22,21,21,21,22,21,22,21,22,20,19,21,23,22,20,21,21,21,23,21,22,23,21,21,21,22,22,23,20,21,22,22,24,20,21,23,21,20,21,21,21,21,22,20,22,22,20,21,21,19,21,21,19,21,21,20,20,21,19,22,21,20,21,21,20,20,19,19,21,20,20,20,19,21,20,19,20,19,19,21,20,19,20,18,19,21,19,19,19,19,19,18,19,18,19,17,17,18,18,17,17,18,15,17,19,18,19,19,16,18,17,17,17,16,16,17,16,17,14,14,15,16,16,15,15,14,15,15,13,14,15,13,14,14,15,13,13,13,13,14,15,12,12,12,12,12,12,12,12,11,12,12,11,11,11,11,12,11,9,11,12,11,12,11,11,10,12,10,10,10,9,11,10,10,11,10,8,10,9,9,10,10,9,9,9,10,10,9,9,10,9,9,9,8,9,9,8,8,10,8,9,9,9,9,10
18,2,4,1,1,13,10,11,12,10,12,11,12,10,12,11,11,12,12,11,13,12,12,11,12,12,13,12,13,13,11,13,14,11,11,12,12,13,15,13,13,14,12,13,13,13,13,14,12,15,15,11,13,14,13,13,13,15,15,15,13,13,13,15,15,13,13,15,15,15,14,14,15,15,13,15,14,14,15,15,14,15,15,15,14,14,14,15,17,15,15,15,15,16,16,14,17,15,15,16,17,15,15,15,15,16,15,17,15,15,16,17,15,15,17,16,17,17,15,17,17,17,17,17,17,17,19,17,17,18,17,17,18,18,19,18,17,19,18,18,17,18,17,18,18,18,18,18,17,18,17,21,18,19,17,18,21,18,20,19,20,19,19,18,19,17,19,19,19,19,19,18,19,20,18,19,21,18,20,20,20,21,18,19,20,20,21,20,21,19,19,20,19,21,20,20,21,19,20,21,22,20,21,19,19,21,20,20,21,20,20,21,20,21,22,22,23,20,21,21,22,19,21,21,19,20,21,21,19,21,19,21,22,20,20,21,21,20,21,21,21,19,19,21,21,19,19,21,21,20,19,19,19,21,18,19,21,19,20,18,18,21,21,19,21,20,19,21,20,21,20,19,18,21,19,21,20,19,20,19,19,20,21,21,20,19,19,18,20,18,18,19,17,17,19,16,19,18,17,17,17,17,17,18,16,18,18,18,16,16,16,16,18,15,17,17,16,17,16,14,16,16,14,15,15,15,15,14,13,14,12,12,14,13,14,14,14,15,14,11,13,12,12,13,14,12,12,12,12,12,12,10,11,12,10,12,11,10,12,11,11,11,11,9,11,11,11,10,10,9,11,11,11,10,10,8,10,9,9,10,9,9,9,9,8,9,9,9,8,9,8,10,8,8,9,8,9,9,8,7,9,8,8,8,8
18,2,4,1,2,12,12,13,11,11,12,12,12,13,11,12,13,11,12,13,12,13,13,13,12,12,12,13,13,13,13,13,11,13,13,13,15,13,13,14,14,14,15,12,12,14,14,13,14,14,16,12,13,14,15,13,15,15,14,14,15,13,14,15,14,15,15,13,17,16,14,16,15,16,16,16,15,15,15,15,16,16,16,16,14,15,17,16,16,17,16,16,17,16,15,15,16,16,15,17,15,18,17,17,17,16,16,17,15,19,16,17,17,17,16,17,17,17,18,17,18,18,19,17,18,18,18,19,19,18,18,19,19,19,19,19,19,19,18,21,19,19,20,20,18,21,19,19,21,19,19,23,19,19,20,20,21,20,21,19,20,18,20,20,20,19,20,19,20,19,21,19,20,19,20,21,21,21,21,20,20,22,19,21,19,20,21,21,21,21,23,21,21,21,21,22,21,21,21,21,22,23,20,21,21,19,20,22,20,21,23,19,21,20,22,22,21,21,22,23,21,21,21,21,21,21,21,21,21,21,23,21,22,22,23,21,22,21,22,23,21,20,22,22,21,21,20,21,20,20,21,23,21,22,20,21,21,20,21,20,19,22,21,21,19,20,20,20,21,23,19,21,20,20,20,20,19,19,21,19,21,21,19,22,21,18,21,20,19,19,19,19,18,19,18,19,19,17,19,19,18,17,17,17,18,18,17,18,16,18,18,16,17,16,17,16,17,17,17,15,15,15,16,15,13,15,15,14,15,14,15,14,13,13,14,12,13,15,14,13,14,11,12,13,12,14,13,11,13,13,11,13,13,12,12,12,11,13,11,11,11,11,11,11,11,11,11,11,10,11,10,11,11,10,11,10,9,9,10,10,10,10,9,10,10,9,9,11,8,9,9,8,9,9,9,9,9,8,9,9,9,9,9,7,8
